|Rk|Player|Nation|Pos|Squad|Age|Born|90s|GA|PKA|FK|CK|OG|PSxG|PSxG/SoT|PSxG+/-|/90|Cmp|Att|Cmp%|Att|Thr|Launch%|AvgLen|Att|Launch%|AvgLen|Opp|Stp|Stp%|#OPA|#OPA/90|AvgDist|Matches|
|11|Alvaro Fernandez|es ESP|GK|Brentford|23-275|1998|11.0|21|1|0|4|2|20.6|0.37|+1.6|+0.14|73|212|34.4|378|55|45.8|37.6|74|52.7|39.2|108|6|5.6|10|0.91|14.9|Matches|
|12|Fraser Forster|eng ENG|GK|Southampton|33-302|1988|3.0|4|1|0|1|0|5.7|0.28|+1.7|+0.55|29|83|34.9|77|5|75.3|55.6|32|78.1|54.9|40|3|7.5|4|1.33|13.9|Matches|
|13|Ben Foster|eng ENG|GK|Watford|38-285|1983|8.0|13|0|0|2|0|13.3|0.38|+0.3|+0.04|79|197|40.1|207|22|66.7|51.5|68|86.8|63.7|73|4|5.5|8|1.00|17.0|Matches|
|14|David de Gea|es ESP|GK|Manchester Utd|31-067|1990|19.0|27|1|0|4|2|32.5|0.35|+7.5|+0.40|74|182|40.7|290|61|34.5|34.5|157|52.2|43.4|155|7|4.5|4|0.21|13.9|Matches|
|15|Vicente Guaita|es ESP|GK|Crystal Palace|35-003|1987|18.0|25|2|1|8|0|21.0|0.27|-4.0|-0.22|95|203|46.8|444|92|33.3|32.7|116|47.4|36.8|139|13|9.4|9|0.50|14.1|Matches|
|16|Angus Gunn|eng ENG|GK|Norwich City|25-356|1996|2.0|8|2|0|0|0|6.3|0.45|-1.7|-0.87|14|34|41.2|53|5|56.6|42.5|12|33.3|33.2|13|0|0.0|4|2.00|20.4|Matches|
|17|Wayne Hennessey|wls WAL|GK|Burnley|34-354|1987|2.0|6|0|0|1|1|3.3|0.27|-1.7|-0.84|26|65|40.0|58|8|75.9|57.4|22|95.5|70.0|20|1|5.0|3|1.50|15.9|Matches|
|18|Caoimhin Kelleher|ie IRL|GK|Liverpool|23-051|1998|2.0|2|0|0|0|0|2.2|0.30|+0.2|+0.12|8|16|50.0|77|12|18.2|26.2|13|15.4|26.2|10|0|0.0|3|1.50|16.1|Matches|
|19|Tim Krul|nl NED|GK|Norwich City|33-285|1988|18.0|36|4|0|4|2|33.2|0.34|-0.8|-0.05|127|325|39.1|547|91|45.3|40.0|143|53.8|45.0|153|7|4.6|7|0.39|12.8|Matches|
|20|Bernd Leno|de GER|GK|Arsenal|29-315|1992|3.0|9|0|0|1|0|7.1|0.39|-1.9|-0.65|11|39|28.2|61|11|37.7|36.3|26|61.5|45.7|30|2|6.7|1|0.33|13.1|Matches|
|21|Hugo Lloris|fr FRA|GK|Tottenham|35-018|1986|18.0|20|1|0|3|1|20.6|0.30|+1.6|+0.09|93|201|46.3|309|61|42.7|37.1|139|49.6|39.1|159|8|5.0|13|0.72|15.0|Matches|
|22|Emiliano Martinez|ar ARG|GK|Aston Villa|29-133|1992|18.0|27|3|1|4|1|21.6|0.25|-4.4|-0.24|118|284|41.5|439|68|47.2|39.7|142|54.2|43.7|144|7|4.9|14|0.78|14.2|Matches|
|23|Alex McCarthy|eng ENG|GK|Southampton|32-041|1989|15.0|21|0|0|6|0|20.8|0.35|-0.2|-0.02|72|241|29.9|341|61|46.3|39.9|109|76.1|56.8|135|17|12.6|3|0.20|12.4|Matches|
|24|Edouard Mendy|sn SEN|GK|Chelsea|29-318|1992|20.0|16|4|0|1|1|15.7|0.20|+0.7|+0.04|68|155|43.9|453|80|26.0|29.6|101|36.6|32.3|158|14|8.9|14|0.70|14.0|Matches|
|25|Illan Meslier|fr FRA|GK|Leeds United|21-317|2000|19.0|37|3|1|6|1|30.7|0.29|-5.3|-0.28|77|244|31.6|580|126|32.1|31.6|160|36.3|34.8|111|13|11.7|20|1.05|15.5|Matches|
|26|Jordan Pickford|eng ENG|GK|Everton|27-312|1994|17.0|29|1|0|7|0|25.7|0.31|-3.3|-0.19|115|369|31.2|395|59|65.1|50.4|135|83.0|65.0|151|13|8.6|12|0.71|15.1|Matches|
|27|Nick Pope|eng ENG|GK|Burnley|29-269|1992|15.0|21|0|1|4|0|18.4|0.29|-2.6|-0.18|139|344|40.4|309|54|75.4|54.7|123|90.2|64.7|152|16|10.5|20|1.33|17.0|Matches|
|28|Aaron Ramsdale|eng ENG|GK|Arsenal|23-244|1998|17.0|16|3|0|0|0|16.4|0.21|+0.4|+0.02|110|292|37.7|493|86|42.0|37.7|108|78.7|59.7|137|13|9.5|9|0.53|14.7|Matches|
|29|David Raya|es ESP|GK|Brentford|26-120|1995|9.0|9|0|0|1|0|8.2|0.28|-0.8|-0.09|83|221|37.6|336|45|49.4|41.8|77|71.4|52.8|74|9|12.2|13|1.44|15.7|Matches|
|30|Jose Sa|pt POR|GK|Wolves|28-361|1993|19.0|14|4|0|0|0|20.6|0.25|+6.6|+0.35|81|251|32.3|399|110|45.6|41.2|132|52.3|44.0|176|18|10.2|17|0.89|14.7|Matches|
|31|Robert Sanchez|es ESP|GK|Brighton|24-056|1997|18.0|18|2|0|4|0|19.5|0.25|+1.5|+0.08|99|309|32.0|676|80|33.9|36.9|119|67.2|53.5|164|22|13.4|21|1.17|15.7|Matches|
|32|Kasper Schmeichel|dk DEN|GK|Leicester City|35-069|1986|18.0|33|5|1|8|1|27.7|0.27|-4.3|-0.24|130|330|39.4|512|76|47.1|40.1|161|55.3|45.4|164|11|6.7|8|0.44|12.3|Matches|
|33|Jason Steele|eng ENG|GK|Brighton|31-148|1990|1.0|2|0|0|1|0|1.2|0.25|-0.8|-0.77|3|7|42.9|32|2|12.5|26.2|6|50.0|43.8|11|1|9.1|0|0.00|13.0|Matches|
|34|Jed Steer|eng ENG|GK|Aston Villa|29-112|1992|1.0|3|0|0|0|0|1.8|0.45|-1.2|-1.20|5|13|38.5|30|6|30.0|34.4|6|66.7|53.8|8|1|12.5|1|1.00|14.3|Matches|
|35|Zack Steffen|us USA|GK|Manchester City|26-286|1995|1.0|0|0|0|0|0|0.3|0.16|+0.3|+0.31|4|9|44.4|31|6|22.6|26.0|7|28.6|25.3|7|0|0.0|2|2.00|17.5|Matches|
